Dimension    	Time	Gflop/s	        GB/s	       Error
    16	    0.258821	7.727350	8.210309	0.000000e+00
    64	    0.261953	7.635565	8.112788	0.000000e+00
    112	    0.271040	7.381273	7.842603	0.000000e+00
    160	    0.276577	7.256715	7.710260	0.000000e+00
    208	    0.280453	7.187510	7.636729	0.000000e+00
    256	    0.333425	6.038131	6.415514	0.000000e+00
    304	    0.283505	7.134981	7.580917	0.000000e+00
    352	    0.280386	7.155340	7.602548	0.000000e+00
    400	    0.289151	7.082799	7.525474	0.000000e+00
    448	    0.297191	7.261214	7.715040	0.000000e+00
    496	    0.297312	7.387624	7.849351	0.000000e+00
    544	    0.317565	7.097279	7.540858	0.000000e+00
    592	    0.283227	7.325374	7.783210	0.000000e+00
    640	    0.295846	7.088665	7.531707	0.000000e+00
    688	    0.371109	7.020271	7.459038	0.000000e+00
    736	    0.339760	7.040639	7.480679	0.000000e+00
    784	    0.419927	6.885352	7.315687	0.000000e+00
    832	    0.338695	6.801763	7.226873	0.000000e+00
    880	    0.398467	6.840944	7.268503	0.000000e+00
    928	    0.479333	6.669092	7.085910	0.000000e+00
    976	    0.579061	6.422220	6.823609	0.000000e+00
    1024    1.005472	2.135797	2.269284	0.000000e+00
    1072	0.411802	5.983089	6.357032	0.000000e+00
    1120	0.445933	6.301071	6.694888	0.000000e+00
    1168	0.539399	5.908107	6.277364	0.000000e+00
    1216	0.567608	6.335516	6.731486	0.000000e+00
    1264	0.641554	6.295617	6.689093	0.000000e+00
    1312	0.775251	5.826249	6.190390	0.000000e+00
    1360	0.863054	5.829194	6.193519	0.000000e+00
    1408	0.925987	6.028831	6.405633	0.000000e+00
    1456	1.066509	5.788282	6.150050	0.000000e+00
    1504	1.148600	5.923857	6.294098	0.000000e+00
    1552	1.254245	5.961048	6.333613	0.000000e+00
    1600	1.422216	5.760025	6.120026	0.000000e+00
    1648	1.534762	5.832578	6.197114	0.000000e+00
    1696	1.770831	5.509731	5.854089	0.000000e+00
    1744	1.848080	5.740487	6.099267	0.000000e+00
    1792	2.078890	5.536210	5.882223	0.000000e+00
    1840	2.248911	5.540019	5.886270	0.000000e+00
    1888	2.394557	5.620964	5.972274	0.000000e+00
    1936	2.652191	5.471939	5.813935	0.000000e+00
    1984	2.849235	5.481844	5.824460	0.000000e+00
