O0
MMult0
 Dimension       Time    Gflop/s       GB/s        Error
        16   4.822546   0.414719   0.440639 0.000000e+00
        64   4.737983   0.422154   0.448539 0.000000e+00
       112   4.788591   0.417788   0.443900 0.000000e+00
       160   4.782371   0.419675   0.445904 0.000000e+00
       208   4.788766   0.420934   0.447243 0.000000e+00
       256   4.776845   0.421463   0.447805 0.000000e+00
       304   4.799871   0.421428   0.447768 0.000000e+00
       352   4.760598   0.421429   0.447768 0.000000e+00
       400   4.856876   0.421670   0.448025 0.000000e+00
       448   5.117613   0.421675   0.448030 0.000000e+00
       496   5.206262   0.421883   0.448250 0.000000e+00
       544   5.344561   0.421709   0.448066 0.000000e+00
       592   4.913515   0.422253   0.448644 0.000000e+00
       640   4.966707   0.422242   0.448632 0.000000e+00
       688   6.171852   0.422124   0.448506 0.000000e+00
       736   5.667010   0.422115   0.448497 0.000000e+00
       784   6.844746   0.422418   0.448819 0.000000e+00
       832   5.458252   0.422062   0.448441 0.000000e+00
       880   6.456658   0.422182   0.448569 0.000000e+00
       928   7.571259   0.422217   0.448606 0.000000e+00
       976   8.806533   0.422284   0.448677 0.000000e+00
      1024   5.086456   0.422196   0.448584 0.000000e+00
      1072   5.838142   0.422026   0.448403 0.000000e+00
      1120   6.656640   0.422113   0.448495 0.000000e+00
      1168   7.549607   0.422118   0.448501 0.000000e+00
      1216   8.532496   0.421458   0.447799 0.000000e+00
      1264   9.584924   0.421388   0.447725 0.000000e+00
      1312  10.724600   0.421163   0.447486 0.000000e+00
      1360  11.990865   0.419562   0.445785 0.000000e+00
      1408  13.253961   0.421204   0.447529 0.000000e+00
      1456  14.664830   0.420956   0.447266 0.000000e+00
      1504  16.155339   0.421170   0.447493 0.000000e+00
      1552  17.770896   0.420723   0.447018 0.000000e+00
      1600  19.455019   0.421074   0.447391 0.000000e+00
      1648  21.290226   0.420457   0.446735 0.000000e+00
      1696  23.182914   0.420862   0.447166 0.000000e+00
      1744  25.240534   0.420311   0.446581 0.000000e+00
      1792  27.358716   0.420677   0.446969 0.000000e+00
      1840  29.641941   0.420317   0.446587 0.000000e+00
      1888  32.016396   0.420401   0.446676 0.000000e+00
      1936  34.530602   0.420283   0.446551 0.000000e+00
      1984  37.171180   0.420193   0.446455 0.000000e+00
MMult1
 Dimension       Time    Gflop/s       GB/s        Error
        16   2.336681   0.855916   0.909411 0.000000e+00
        64   2.325867   0.859963   0.913710 0.000000e+00
       112   2.323131   0.861173   0.914996 0.000000e+00
       160   2.333017   0.860277   0.914044 0.000000e+00
       208   2.343512   0.860143   0.913902 0.000000e+00
       256   2.346316   0.858054   0.911682 0.000000e+00
       304   2.356212   0.858497   0.912153 0.000000e+00
       352   2.336411   0.858690   0.912359 0.000000e+00
       400   2.387213   0.857904   0.911523 0.000000e+00
       448   2.515699   0.857801   0.911414 0.000000e+00
       496   2.560577   0.857787   0.911399 0.000000e+00
       544   2.624393   0.858808   0.912483 0.000000e+00
       592   2.417471   0.858230   0.911870 0.000000e+00
       640   2.448794   0.856402   0.909927 0.000000e+00
       688   3.042746   0.856228   0.909743 0.000000e+00
       736   2.799593   0.854456   0.907860 0.000000e+00
       784   3.385737   0.853977   0.907351 0.000000e+00
       832   2.703211   0.852217   0.905480 0.000000e+00
       880   3.192442   0.853857   0.907223 0.000000e+00
       928   3.741688   0.854351   0.907748 0.000000e+00
       976   4.364273   0.852114   0.905371 0.000000e+00
      1024   2.556497   0.840010   0.892511 0.000000e+00
      1072   2.911024   0.846386   0.899285 0.000000e+00
      1120   3.344445   0.840156   0.892666 0.000000e+00
      1168   3.804294   0.837692   0.890048 0.000000e+00
      1216   4.336596   0.829243   0.881071 0.000000e+00
      1264   4.868439   0.829624   0.881476 0.000000e+00
      1312   5.521021   0.818111   0.869243 0.000000e+00
      1360   6.195566   0.812018   0.862769 0.000000e+00
      1408   7.003663   0.797100   0.846919 0.000000e+00
      1456   8.003099   0.771358   0.819568 0.000000e+00
      1504   8.610813   0.790186   0.839573 0.000000e+00
      1552   9.522294   0.785170   0.834243 0.000000e+00
      1600  10.517886   0.778864   0.827543 0.000000e+00
      1648  11.515680   0.777342   0.825926 0.000000e+00
      1696  12.567539   0.776350   0.824871 0.000000e+00
      1744  13.745227   0.771823   0.820062 0.000000e+00
      1792  14.951185   0.769783   0.817895 0.000000e+00
      1840  16.136065   0.772122   0.820379 0.000000e+00
      1888  17.419744   0.772670   0.820962 0.000000e+00
      1936  18.803012   0.771825   0.820064 0.000000e+00
      1984  20.289194   0.769822   0.817936 0.000000e+00
