O3
MMult0
Dimension	Time	Gflop/s	GB/s	Error
    16	    0.130349	15.343415	16.302378	0.000000e+00
    64	    0.096692	20.685951	21.978823	0.000000e+00
    112	    0.091922	21.764225	23.124489	0.000000e+00
    160	    0.093335	21.503593	22.847568	0.000000e+00
    208	    0.122991	16.389402	17.413739	0.000000e+00
    256	    0.123460	16.307043	17.326233	0.000000e+00
    304	    0.121692	16.622255	17.661146	0.000000e+00
    352	    0.118570	16.920351	17.977873	0.000000e+00
    400	    0.129604	15.802034	16.789661	0.000000e+00
    448	    0.127498	16.925573	17.983422	0.000000e+00
    496	    0.136890	16.045276	17.048106	0.000000e+00
    544	    0.133347	16.902113	17.958495	0.000000e+00
    592	    0.130448	15.904732	16.898778	0.000000e+00
    640	    0.174220	12.037356	12.789690	0.000000e+00
    688	    0.235582	11.058935	11.750118	0.000000e+00
    736	    0.299643	7.983269	8.482223	0.000000e+00
    784	    0.342799	8.434508	8.961665	0.000000e+00
    832	    0.314517	7.324640	7.782430	0.000000e+00
    880	    0.443177	6.150783	6.535207	0.000000e+00
    928	    0.516500	6.189185	6.576009	0.000000e+00
    976	    0.209013	17.792444	18.904471	0.000000e+00
    1024	0.114042	18.830662	20.007578	0.000000e+00
    1072	0.169713	14.517716	15.425073	0.000000e+00
    1120	0.180714	15.548639	16.520428	0.000000e+00
    1168	0.229360	13.894406	14.762806	0.000000e+00
    1216	0.282838	12.714334	13.508979	0.000000e+00
    1264	0.373396	10.816869	11.492924	0.000000e+00
    1312	0.389407	11.599181	12.324130	0.000000e+00
    1360	0.612169	8.218178	8.731815	0.000000e+00
    1408	0.643034	8.681691	9.224297	0.000000e+00
    1456	0.866078	7.127826	7.573316	0.000000e+00
    1504	0.966031	7.043400	7.483612	0.000000e+00
    1552	1.139422	6.561765	6.971875	0.000000e+00
    1600	1.262038	6.491091	6.896784	0.000000e+00
    1648	1.486809	6.020691	6.396984	0.000000e+00
    1696	1.696836	5.749999	6.109374	0.000000e+00
    1744	1.933898	5.485748	5.828607	0.000000e+00
    1792	2.027149	5.677515	6.032360	0.000000e+00
    1840	2.345266	5.312407	5.644432	0.000000e+00
    1888	3.699599	3.638156	3.865541	0.000000e+00
    1936	2.596057	5.590257	5.939648	0.000000e+00
    1984	2.793877	5.590461	5.939865	0.000000e+00

MMult1
Dimension    	Time	Gflop/s	GB/s	Error
    16	    0.258821	7.727350	8.210309	0.000000e+00
    64	    0.261953	7.635565	8.112788	0.000000e+00
    112	    0.271040	7.381273	7.842603	0.000000e+00
    160	    0.276577	7.256715	7.710260	0.000000e+00
    208	    0.280453	7.187510	7.636729	0.000000e+00
    256	    0.333425	6.038131	6.415514	0.000000e+00
    304	    0.283505	7.134981	7.580917	0.000000e+00
    352	    0.280386	7.155340	7.602548	0.000000e+00
    400	    0.289151	7.082799	7.525474	0.000000e+00
    448	    0.297191	7.261214	7.715040	0.000000e+00
    496	    0.297312	7.387624	7.849351	0.000000e+00
    544	    0.317565	7.097279	7.540858	0.000000e+00
    592	    0.283227	7.325374	7.783210	0.000000e+00
    640	    0.295846	7.088665	7.531707	0.000000e+00
    688	    0.371109	7.020271	7.459038	0.000000e+00
    736	    0.339760	7.040639	7.480679	0.000000e+00
    784	    0.419927	6.885352	7.315687	0.000000e+00
    832	    0.338695	6.801763	7.226873	0.000000e+00
    880	    0.398467	6.840944	7.268503	0.000000e+00
    928	    0.479333	6.669092	7.085910	0.000000e+00
    976	    0.579061	6.422220	6.823609	0.000000e+00
    1024    1.005472	2.135797	2.269284	0.000000e+00
    1072	0.411802	5.983089	6.357032	0.000000e+00
    1120	0.445933	6.301071	6.694888	0.000000e+00
    1168	0.539399	5.908107	6.277364	0.000000e+00
    1216	0.567608	6.335516	6.731486	0.000000e+00
    1264	0.641554	6.295617	6.689093	0.000000e+00
    1312	0.775251	5.826249	6.190390	0.000000e+00
    1360	0.863054	5.829194	6.193519	0.000000e+00
    1408	0.925987	6.028831	6.405633	0.000000e+00
    1456	1.066509	5.788282	6.150050	0.000000e+00
    1504	1.148600	5.923857	6.294098	0.000000e+00
    1552	1.254245	5.961048	6.333613	0.000000e+00
    1600	1.422216	5.760025	6.120026	0.000000e+00
    1648	1.534762	5.832578	6.197114	0.000000e+00
    1696	1.770831	5.509731	5.854089	0.000000e+00
    1744	1.848080	5.740487	6.099267	0.000000e+00
    1792	2.078890	5.536210	5.882223	0.000000e+00
    1840	2.248911	5.540019	5.886270	0.000000e+00
    1888	2.394557	5.620964	5.972274	0.000000e+00
    1936	2.652191	5.471939	5.813935	0.000000e+00
    1984	2.849235	5.481844	5.824460	0.000000e+00
