      Size       Time    Gflop/s
        32   0.436127   4.585824
        64   0.458902   4.358233
       128   0.476554   4.196793
       256   0.481304   4.155382
       512   0.485686   4.117890
      1024   0.486711   4.109214
      2048   0.488584   4.093467
      4096   0.488146   4.097141
      8192   0.488105   4.097506
     16384   0.489599   4.085028
     32768   0.489153   4.088754
     65536   0.492028   4.064862
    131072   0.491068   4.073075
    262144   0.491699   4.067854
    524288   0.491004   4.074680
   1048576   0.680378   2.940546
   2097152   0.796644   2.511390
   4194304   0.795200   2.521223
   8388608   0.939811   2.142203
